"","year","Element","total","continent"
"309","Y1991","Export Quantity",18835,"Americas"
"310","Y1991","Export Value",10099,"Americas"
"311","Y1991","Import Quantity",348888,"Americas"
"312","Y1991","Import Value",122885,"Americas"
"313","Y1992","Export Quantity",40104,"Americas"
"314","Y1992","Export Value",17739,"Americas"
"315","Y1992","Import Quantity",296277,"Americas"
"316","Y1992","Import Value",118453,"Americas"
"317","Y1993","Export Quantity",46375,"Americas"
"318","Y1993","Export Value",21275,"Americas"
"319","Y1993","Import Quantity",394381,"Americas"
"320","Y1993","Import Value",168596,"Americas"
"321","Y1994","Export Quantity",89776,"Americas"
"322","Y1994","Export Value",43825,"Americas"
"323","Y1994","Import Quantity",443812,"Americas"
"324","Y1994","Import Value",206361,"Americas"
"325","Y1995","Export Quantity",114541,"Americas"
"326","Y1995","Export Value",70711,"Americas"
"327","Y1995","Import Quantity",221295,"Americas"
"328","Y1995","Import Value",149519,"Americas"
"329","Y1996","Export Quantity",151695,"Americas"
"330","Y1996","Export Value",83223,"Americas"
"331","Y1996","Import Quantity",208491,"Americas"
"332","Y1996","Import Value",113732,"Americas"
"333","Y1997","Export Quantity",196455,"Americas"
"334","Y1997","Export Value",106829,"Americas"
"335","Y1997","Import Quantity",366357,"Americas"
"336","Y1997","Import Value",199809,"Americas"
"337","Y1998","Export Quantity",234006,"Americas"
"338","Y1998","Export Value",149374,"Americas"
"339","Y1998","Import Quantity",333339,"Americas"
"340","Y1998","Import Value",197379,"Americas"
"341","Y1999","Export Quantity",305005,"Americas"
"342","Y1999","Export Value",135932,"Americas"
"343","Y1999","Import Quantity",347398,"Americas"
"344","Y1999","Import Value",193792,"Americas"
"345","Y2000","Export Quantity",321308,"Americas"
"346","Y2000","Export Value",118118,"Americas"
"347","Y2000","Import Quantity",420753,"Americas"
"348","Y2000","Import Value",172797,"Americas"
"349","Y2001","Export Quantity",320650,"Americas"
"350","Y2001","Export Value",109826,"Americas"
"351","Y2001","Import Quantity",475981,"Americas"
"352","Y2001","Import Value",172100,"Americas"
"353","Y2002","Export Quantity",300991,"Americas"
"354","Y2002","Export Value",131918,"Americas"
"355","Y2002","Import Quantity",577344,"Americas"
"356","Y2002","Import Value",224816,"Americas"
"357","Y2003","Export Quantity",468123,"Americas"
"358","Y2003","Export Value",221617,"Americas"
"359","Y2003","Import Quantity",647262,"Americas"
"360","Y2003","Import Value",310373,"Americas"
"361","Y2004","Export Quantity",665071,"Americas"
"362","Y2004","Export Value",337293,"Americas"
"363","Y2004","Import Quantity",833616,"Americas"
"364","Y2004","Import Value",436166,"Americas"
"365","Y2005","Export Quantity",727447,"Americas"
"366","Y2005","Export Value",317210,"Americas"
"367","Y2005","Import Quantity",940831,"Americas"
"368","Y2005","Import Value",453618,"Americas"
"369","Y2006","Export Quantity",727440,"Americas"
"370","Y2006","Export Value",357396,"Americas"
"371","Y2006","Import Quantity",1299971,"Americas"
"372","Y2006","Import Value",669851,"Americas"
"373","Y2007","Export Quantity",945352,"Americas"
"374","Y2007","Export Value",676212,"Americas"
"375","Y2007","Import Quantity",1475670,"Americas"
"376","Y2007","Import Value",1087921,"Americas"
"377","Y2008","Export Quantity",822832,"Americas"
"378","Y2008","Export Value",889039,"Americas"
"379","Y2008","Import Quantity",1798266,"Americas"
"380","Y2008","Import Value",1918214,"Americas"
"381","Y2009","Export Quantity",793417,"Americas"
"382","Y2009","Export Value",586048,"Americas"
"383","Y2009","Import Quantity",1838103,"Americas"
"384","Y2009","Import Value",1401598,"Americas"
"385","Y2010","Export Quantity",615625,"Americas"
"386","Y2010","Export Value",554581,"Americas"
"387","Y2010","Import Quantity",1942743,"Americas"
"388","Y2010","Import Value",1744838,"Americas"
"389","Y2011","Export Quantity",972973,"Americas"
"390","Y2011","Export Value",1109166,"Americas"
"391","Y2011","Import Quantity",2180050,"Americas"
"392","Y2011","Import Value",2603953,"Americas"
"393","Y2012","Export Quantity",1369992,"Americas"
"394","Y2012","Export Value",1429666,"Americas"
"395","Y2012","Import Quantity",2139194,"Americas"
"396","Y2012","Import Value",2335319,"Americas"
"397","Y2013","Export Quantity",1157828,"Americas"
"398","Y2013","Export Value",1002379,"Americas"
"399","Y2013","Import Quantity",2611824,"Americas"
"400","Y2013","Import Value",2395726,"Americas"
"401","Y2014","Export Quantity",1578436.96,"Americas"
"402","Y2014","Export Value",1342670,"Americas"
"403","Y2014","Import Quantity",2534011.77,"Americas"
"404","Y2014","Import Value",2319635,"Americas"
"405","Y2015","Export Quantity",1903655.2,"Americas"
"406","Y2015","Export Value",1296640,"Americas"
"407","Y2015","Import Quantity",2566134.61,"Americas"
"408","Y2015","Import Value",1964859,"Americas"
"409","Y2016","Export Quantity",2118524.4,"Americas"
